interaction_id,trigger,intent,endpoint,transcript,t_wake,t_command,asr_ms,t_request_sent,lat_sent,lon_sent,t_response_received,lat_recv,lon_recv,api_ms,api_error,format_ms,t_tts_requested,tts_synthesis_delay_ms,tts_duration_ms,spoken_chars,total_ms,cpu_pct,mem_mb,thermal,battery_pct,glasses_thermal,window_start,window_end,last_sample_at,spoken_text,api_raw_response
1,voice,driving_behavior,smart-glass/driver-behavior,Hey Conecta how am I driving,2026-08-12T19:45:30.317Z,2026-08-12T19:45:33.222Z,2904.9,2026-08-12T19:45:33.227Z,-5.843805641264034,-35.19820053394552,2026-08-12T19:45:33.573Z,-5.843805641264034,-35.19820053394552,346.4,,0.5,2026-08-12T19:45:33.574Z,7.2,7693.3,100,10956.6,1.0,29.0,nominal,100.0,,2026-08-12T16:43:32.921919,2026-08-12T16:45:32.921919,2026-08-12T16:45:32.921919,"In the last 2 minutes, your driving was predominantly cautious. Breakdown: 88% cautious, 12% normal.","{""time_session"":""2026-08-12T16:45:15.909169"",""last_sample_at"":""2026-08-12T16:45:32.921919"",""window"":{""seconds"":120,""window_start"":""2026-08-12T16:43:32.921919"",""window_end"":""2026-08-12T16:45:32.921919"",""predominant_behavior"":""cautious"",""distribution"":{""cautious"":88.24,""normal"":11.76,""aggressive"":0.0},""sample_count"":17},""trip"":{""time_per_behavior"":{""cautious"":15.000601,""normal"":0.999365,""aggressive"":0},""sample_count"":17}}"
2,voice,driving_behavior,smart-glass/driver-behavior,Hey Conecta how am I driving,2026-08-12T19:46:59.972Z,2026-08-12T19:47:02.140Z,2168.3,2026-08-12T19:47:02.144Z,-5.8438056412640424,-35.19820053394552,2026-08-12T19:47:02.520Z,-5.8438056412640424,-35.19820053394552,375.8,,0.3,2026-08-12T19:47:02.521Z,5.4,7832.3,98,10386.3,0.6,28.8,nominal,100.0,,2026-08-12T16:45:01.921135,2026-08-12T16:47:01.921135,2026-08-12T16:47:01.921135,"In the last 2 minutes, your driving was predominantly normal. Breakdown: 59% normal, 41% cautious.","{""time_session"":""2026-08-12T16:45:15.909169"",""last_sample_at"":""2026-08-12T16:47:01.921135"",""window"":{""seconds"":120,""window_start"":""2026-08-12T16:45:01.921135"",""window_end"":""2026-08-12T16:47:01.921135"",""predominant_behavior"":""normal"",""distribution"":{""cautious"":40.57,""normal"":59.43,""aggressive"":0.0},""sample_count"":106},""trip"":{""time_per_behavior"":{""cautious"":43.000845,""normal"":61.998337,""aggressive"":0},""sample_count"":106}}"
3,voice,emissions,smart-glass/emissions,Hey Conecta how am I emitting,2026-08-12T19:48:19.957Z,2026-08-12T19:48:22.117Z,2160.1,2026-08-12T19:48:22.123Z,-5.8438056412640424,-35.19820053394552,2026-08-12T19:48:22.506Z,-5.8438056412640424,-35.19820053394552,383.1,,0.4,2026-08-12T19:48:22.506Z,5.6,7256.8,93,9811.6,0.6,28.7,nominal,100.0,,,,2026-08-12T16:48:21.920451,You are emitting 207 grams of CO2 per kilometer. 278 grams in total so far. Your rating is E.,"{""time_session"":""2026-08-12T16:45:15.909169"",""last_sample_at"":""2026-08-12T16:48:21.920451"",""emissions"":{""total_g"":278.21,""emission_by_km"":206.9174360281684,""classification"":""E""},""total_distance"":1.3445459471193442,""fuel_prediction"":""Gasolina"",""engine_source"":""default""}"
4,voice,driving_behavior,smart-glass/driver-behavior,Hey Conecta how am I driving,2026-08-12T19:48:58.962Z,2026-08-12T19:49:01.018Z,2055.5,2026-08-12T19:49:01.019Z,-5.8438056412640424,-35.19820053394552,2026-08-12T19:49:01.486Z,-5.8438056412640424,-35.19820053394552,466.5,,0.8,2026-08-12T19:49:01.487Z,6.7,8015.4,98,10546.5,0.5,28.8,nominal,100.0,,2026-08-12T16:47:00.921183,2026-08-12T16:49:00.921183,2026-08-12T16:49:00.921183,"In the last 2 minutes, your driving was predominantly normal. Breakdown: 76% normal, 24% cautious.","{""time_session"":""2026-08-12T16:45:15.909169"",""last_sample_at"":""2026-08-12T16:49:00.921183"",""window"":{""seconds"":120,""window_start"":""2026-08-12T16:47:00.921183"",""window_end"":""2026-08-12T16:49:00.921183"",""predominant_behavior"":""normal"",""distribution"":{""cautious"":24.17,""normal"":75.83,""aggressive"":0.0},""sample_count"":120},""trip"":{""time_per_behavior"":{""cautious"":72.00133,""normal"":151.9979,""aggressive"":0},""sample_count"":225}}"
5,voice,emissions,smart-glass/emissions,Hey Conecta how am I emitting,2026-08-12T19:50:13.509Z,2026-08-12T19:50:15.911Z,2402.0,2026-08-12T19:50:15.916Z,-5.8438056412640424,-35.19820053394552,2026-08-12T19:50:16.281Z,-5.8438056412640424,-35.19820053394552,364.8,,0.6,2026-08-12T19:50:16.282Z,8.4,7757.1,93,10538.2,0.7,28.7,nominal,100.0,,,,2026-08-12T16:50:15.919285,You are emitting 177 grams of CO2 per kilometer. 458 grams in total so far. Your rating is E.,"{""time_session"":""2026-08-12T16:45:15.909169"",""last_sample_at"":""2026-08-12T16:50:15.919285"",""emissions"":{""total_g"":458.06,""emission_by_km"":176.83965188337524,""classification"":""E""},""total_distance"":2.5902561734406038,""fuel_prediction"":""Gasolina"",""engine_source"":""default""}"
6,voice,driving_behavior,smart-glass/driver-behavior,Hey Conecta how am I driving,2026-08-12T19:51:10.211Z,2026-08-12T19:51:12.414Z,2202.7,2026-08-12T19:51:12.419Z,-5.8438056412640424,-35.19820053394552,2026-08-12T19:51:12.851Z,-5.8438056412640424,-35.19820053394552,432.6,,0.4,2026-08-12T19:51:12.852Z,7.2,8072.4,98,10720.4,0.8,28.7,nominal,100.0,,2026-08-12T16:49:11.919381,2026-08-12T16:51:11.919381,2026-08-12T16:51:11.919381,"In the last 2 minutes, your driving was predominantly normal. Breakdown: 63% normal, 37% cautious.","{""time_session"":""2026-08-12T16:45:15.909169"",""last_sample_at"":""2026-08-12T16:51:11.919381"",""window"":{""seconds"":120,""window_start"":""2026-08-12T16:49:11.919381"",""window_end"":""2026-08-12T16:51:11.919381"",""predominant_behavior"":""normal"",""distribution"":{""cautious"":37.19,""normal"":62.81,""aggressive"":0.0},""sample_count"":121},""trip"":{""time_per_behavior"":{""cautious"":117.00478199999999,""normal"":237.992646,""aggressive"":0},""sample_count"":356}}"
7,voice,emissions,smart-glass/emissions,Hey Conecta how am I emitting,2026-08-12T19:52:30.958Z,2026-08-12T19:52:33.318Z,2359.7,2026-08-12T19:52:33.325Z,-5.8438056412640424,-35.19820053394552,2026-08-12T19:52:33.681Z,-5.8438056412640424,-35.19820053394552,355.2,,0.4,2026-08-12T19:52:33.681Z,7.9,7723.3,93,10454.0,0.5,28.7,nominal,100.0,,,,2026-08-12T16:52:32.920098,You are emitting 169 grams of CO2 per kilometer. 685 grams in total so far. Your rating is E.,"{""time_session"":""2026-08-12T16:45:15.909169"",""last_sample_at"":""2026-08-12T16:52:32.920098"",""emissions"":{""total_g"":685.02,""emission_by_km"":169.38525067500862,""classification"":""E""},""total_distance"":4.044153769411217,""fuel_prediction"":""Gasolina"",""engine_source"":""default""}"
8,voice,driving_behavior,smart-glass/driver-behavior,Hey Conecta how am I driving,2026-08-12T19:53:12.753Z,2026-08-12T19:53:14.677Z,1924.3,2026-08-12T19:53:14.679Z,-5.8438056412640424,-35.19820053394552,2026-08-12T19:53:15.192Z,-5.8438056412640424,-35.19820053394552,513.1,,0.5,2026-08-12T19:53:15.193Z,7.6,7306.5,98,9753.7,0.5,28.8,nominal,100.0,,2026-08-12T16:51:13.918829,2026-08-12T16:53:13.918829,2026-08-12T16:53:13.918829,"In the last 2 minutes, your driving was predominantly normal. Breakdown: 90% normal, 10% cautious.","{""time_session"":""2026-08-12T16:45:15.909169"",""last_sample_at"":""2026-08-12T16:53:13.918829"",""window"":{""seconds"":120,""window_start"":""2026-08-12T16:51:13.918829"",""window_end"":""2026-08-12T16:53:13.918829"",""predominant_behavior"":""normal"",""distribution"":{""cautious"":9.92,""normal"":90.08,""aggressive"":0.0},""sample_count"":121},""trip"":{""time_per_behavior"":{""cautious"":129.005948,""normal"":347.990928,""aggressive"":0},""sample_count"":478}}"
9,voice,emissions,smart-glass/emissions,Hey Conecta how am I emitting,2026-08-12T19:53:40.734Z,2026-08-12T19:53:42.812Z,2078.6,2026-08-12T19:53:42.819Z,-5.8438056412640424,-35.19820053394552,2026-08-12T19:53:43.396Z,-5.8438056412640424,-35.19820053394552,576.5,,0.3,2026-08-12T19:53:43.396Z,7.8,7482.6,93,10153.1,0.8,28.7,nominal,100.0,,,,2026-08-12T16:53:42.919041,You are emitting 166 grams of CO2 per kilometer. 803 grams in total so far. Your rating is D.,"{""time_session"":""2026-08-12T16:45:15.909169"",""last_sample_at"":""2026-08-12T16:53:42.919041"",""emissions"":{""total_g"":803.19,""emission_by_km"":165.8026267932473,""classification"":""D""},""total_distance"":4.844253770487983,""fuel_prediction"":""Gasolina"",""engine_source"":""default""}"
10,voice,driving_behavior,smart-glass/driver-behavior,Hey Conecta how am I driving,2026-08-12T19:54:11.783Z,2026-08-12T19:54:13.822Z,2039.0,2026-08-12T19:54:13.824Z,-5.8438056412640424,-35.19820053394552,2026-08-12T19:54:17.626Z,-5.8438056412640424,-35.19820053394552,3801.8,,0.4,2026-08-12T19:54:17.627Z,6.7,8016.4,98,13866.7,0.5,28.7,nominal,100.0,,2026-08-12T16:52:14.918929,2026-08-12T16:54:14.918929,2026-08-12T16:54:14.918929,"In the last 2 minutes, your driving was predominantly normal. Breakdown: 76% normal, 24% cautious.","{""time_session"":""2026-08-12T16:45:15.909169"",""last_sample_at"":""2026-08-12T16:54:14.918929"",""window"":{""seconds"":120,""window_start"":""2026-08-12T16:52:14.918929"",""window_end"":""2026-08-12T16:54:14.918929"",""predominant_behavior"":""normal"",""distribution"":{""cautious"":23.97,""normal"":76.03,""aggressive"":0.0},""sample_count"":121},""trip"":{""time_per_behavior"":{""cautious"":149.004234,""normal"":388.992742,""aggressive"":0},""sample_count"":539}}"
